Time__CET_CEST_,Day_ahead_Total_Load_Forecast__MW____BZN_NL,Actual_Total_Load__MW____BZN_NL
04.01.2024 21:00 - 04.01.2024 21:15,12244.0,14857.0
04.01.2024 21:15 - 04.01.2024 21:30,12120.0,14661.0
04.01.2024 21:30 - 04.01.2024 21:45,12023.0,14461.0
04.01.2024 21:45 - 04.01.2024 22:00,11858.0,14308.0
04.01.2024 22:00 - 04.01.2024 22:15,11708.0,14026.0
04.01.2024 22:15 - 04.01.2024 22:30,11487.0,13821.0
04.01.2024 22:30 - 04.01.2024 22:45,11323.0,13559.0
04.01.2024 22:45 - 04.01.2024 23:00,11175.0,13380.0
04.01.2024 23:00 - 04.01.2024 23:15,11052.0,13218.0
04.01.2024 23:15 - 04.01.2024 23:30,10936.0,13089.0
04.01.2024 23:30 - 04.01.2024 23:45,10825.0,12901.0
04.01.2024 23:45 - 05.01.2024 00:00,10672.0,12764.0
05.01.2024 00:00 - 05.01.2024 00:15,10650.0,12544.0
05.01.2024 00:15 - 05.01.2024 00:30,10693.0,12423.0
05.01.2024 00:30 - 05.01.2024 00:45,10610.0,12327.0
05.01.2024 00:45 - 05.01.2024 01:00,10508.0,12205.0
05.01.2024 01:00 - 05.01.2024 01:15,10376.0,12132.0
05.01.2024 01:15 - 05.01.2024 01:30,10239.0,12041.0
05.01.2024 01:30 - 05.01.2024 01:45,10130.0,11944.0
05.01.2024 01:45 - 05.01.2024 02:00,10058.0,11817.0
05.01.2024 02:00 - 05.01.2024 02:15,9974.0,11772.0
05.01.2024 02:15 - 05.01.2024 02:30,9889.0,11717.0
05.01.2024 02:30 - 05.01.2024 02:45,9864.0,11652.0
05.01.2024 02:45 - 05.01.2024 03:00,9833.0,11607.0
05.01.2024 03:00 - 05.01.2024 03:15,9802.0,11589.0
05.01.2024 03:15 - 05.01.2024 03:30,9809.0,11540.0
05.01.2024 03:30 - 05.01.2024 03:45,9789.0,11521.0
